ADRAR,361,54310,150.6
CHLEF,4290,1295530,302.0
LAGHOUAT,2247,561750,2500.0
O.E.BOUAGHI,479,93940,196.1
BATNA,2686,832635,3100.0
BEJAIA,320,59230,185.4
BISKRA,210,61240,291.6
BECHAR,117,22877,196.4
BLIDA,735,271410,369.3
BOURA,6235,2131289,341.8
TAMANRASSET,55,8352,153.2
TEBESSA,2525,876750,347.2
TLEMCEN,6385,2106500,3299.0
TIARET,5749,1584500,275.6
TIZI-OUZOU,938,228353,2434.0
ALGER,1516,591620,390.3
DJELFA,2728,616520,2260.0
JIJEL,556,109665,197.4
SETIF,2244,631175,281.3
SAIDA,2718,771185,2838.0
SKIKDA,5656,2077705,3674.0
S.B.ABBES,2274,587490,258.4
ANNABA,103,34120,3329.0
GUELMA,1903,505105,265.4
CONSTANTINE,194,39165,202.4
MEDEA,2296,614865,2678.0
MOSTAGANEM,12771,3715730,291.0
M'SILA,580,185000,319.0
MASCARA,12500,3633000,2906.0
Ã”UARGLA,1938,569200,293.7
ORAN,243,68175,281.1
EL-BAYADH,977,277890,284.4
ILLIZI,2,233,150.0
B.B.ARRERIDJ,151,30800,204.0
BOUMERDES,3740,1207590,322.9
EL.TARF,529,200520,3791.0
TINDOUF,7,1050,150.0
TISSEMSILT,143,21955,1535.0
EL.OUED,34000,10956000,322.2
KHENCHELA,111,19305,174.3
SOUK.AHRAS,900,237000,263.3
TIPAZA,2479,727945,293.6
MILA,1856,786030,4235.0
AIN.DEFLA,21663,6436146,2971.0
NAAMA,562,119904,213.5
A.TEMOUCHENT,316,92890,294.0
GHARDAIA,119,32680,274.6
RELIZANE,5209,1510443,290.0
